	business_id	name	neighborhood	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	categories
234	kpM-NegY__31O-XMEEesdg	"""Banana Republic"""		"""200 Market St"""	Westlake	OH	44145	41.4574934	-81.9521746	3.0	4	1	Shopping;Sporting Goods;Women's Clothing;Men's Clothing;Sports Wear;Fashion
243	XguKrY0dAuaK1W6HUlUQ1Q	"""Retz's Laconi's II"""		"""547 Sackett Ave"""	Cuyahoga Falls	OH	44221	41.1312823	-81.4901798	3.5	29	1	Italian;Restaurants;Pizza
246	7fiIMBxbOYdAv3XMcmWivw	"""Renee's Relaxation and Body Mechanics"""	Campus District	"""850 Euclid Ave"""	Cleveland	OH	44115	41.494619	-81.675465	3.0	3	1	Massage;Beauty & Spas
249	Svs-B-a5-13D2dGTKxLsyw	"""Mr Chicken"""		"""11680 Snow Rd"""	Cleveland	OH	44130	41.4050396	-81.7683865	3.0	4	0	Restaurants;Fast Food
258	GlZMZrA-whyu1INVXcvRnw	"""Al Wilhelmy Flowers, Inc."""	Civic Center	"""412 Superior Ave"""	Cleveland	OH	44114	41.5008098	-81.6912682	4.0	3	1	Fruits & Veggies;Shopping;Specialty Food;Flowers & Gifts;Food;Florists
285	UuxH5yQpl73XJkzfLN-qdg	"""Cleveland Indians"""	Gateway District	"""2401 Ontario St"""	Cleveland	OH	44115	41.4953415	-81.6853573	4.0	36	1	Stadiums & Arenas;Arts & Entertainment;Professional Sports Teams
298	J-0_mtG3QyZ_7pBMoZBkfQ	"""North Chagrin Nature Center-Cleveland Metroparks"""		"""3037 Som Center Rd"""	Willoughby Hills	OH	44094	41.5712959	-81.433384	4.0	16	1	Amusement Parks;Parks;Active Life
310	btRo30YqzXeTbgxk6gnLMw	"""Pizza Hut"""		"""380 Dover Center Rd"""	Bay Village	OH	44140	41.484475009	-81.921149902	1.5	3	1	Pizza;Italian;Chicken Wings;Restaurants
311	pEMoLmRkS2dyIm_KpIr4hg	"""Ben's Auto Body Specialists"""	Fairfax	"""8514 Carnegie Ave"""	Cleveland	OH	44106	41.500802	-81.627516	5.0	3	1	Body Shops;Automotive
313	WEouNHHxfqGa8gYAnyiyBA	"""El Palenque"""		"""5945 Andrews Rd"""	Mentor-on-the-Lake	OH	44060	41.7078674	-81.3612933	3.5	3	0	Restaurants;Mexican
322	VGRn5KgYKMkqdIKtBUzQQA	"""Wahlburgers"""	Gateway District	"""2105 Ontario St"""	Cleveland	OH	44115	41.497812	-81.691629	3.0	100	1	American (Traditional);Burgers;Restaurants
326	FT08e7Kzgi0Eu0hI4FFYTA	"""The Corner Pub"""		"""12301 Madison Ave"""	Lakewood	OH	44107	41.4767671	-81.7750862	3.0	4	0	Bars;Nightlife;Dive Bars
343	YpwmtRca3LEen-GOiuhI3g	"""Urban Auto Center"""	Puritas-Longmead	"""4141 W 130th St"""	Cleveland	OH	44135	41.44153	-81.779454	5.0	3	1	Automotive;Auto Repair
376	NQoHMr3U7fIWRC1eCTYe4w	"""CVS Pharmacy"""		"""9040 Mentor Ave"""	Mentor	OH	44060	41.666088375	-81.3395804618	1.5	3	1	Drugstores;Shopping
390	Aqz58iWN2FNa0Wq72Y6ZeA	"""ABM Parking"""	Northeast District	"""1459 Hamilton Ave"""	Cleveland	OH	44114	41.5078261	-81.6858122	1.0	3	1	Automotive;Parking
405	n7rL5vPR5zHvTYvxcnihAg	"""Cleveland Metrobark"""	Goodrich Kirtland	"""3939 Payne Ave"""	Cleveland	OH	44114	41.5105792	-81.6604727	4.0	6	1	Pet Groomers;Pet Sitting;Pets;Pet Services
411	g3HuShjhEjDxOy6Ykp9l4A	"""Buehler's Fresh Foods"""		"""3688 Center Rd"""	Brunswick	OH	44212	41.2366079	-81.818474	4.0	8	0	Food;Grocery
451	ECqc9Xd0dTdKmcNrbIizAw	"""Los Girasoles"""		"""4441 State Route 43"""	Kent	OH	44240	41.1105329	-81.3480427	4.0	54	1	Southern;Mexican;Restaurants;Nightlife;Bars
494	SlV041GfQWhMM-G5R3yerw	"""Sal's Barber Shop"""		"""234 N Main St"""	Hudson	OH	44236	41.243179	-81.440581	4.5	11	1	Barbers;Beauty & Spas
514	lK-wuiq8b1TuU7bfbQZgsg	"""Hingetown"""	Ohio City	""""""	Cleveland	OH	44113	41.4893428107	-81.711028698	3.0	4	1	Shopping;Flowers & Gifts;Arts & Entertainment;Cafes;Coffee & Tea;Restaurants;Local Flavor;Museums;Shopping Centers;Art Galleries;Florists;Food
542	1cc7O0VK7INwTvX3Unkq-w	"""David's Bridal"""		"""3265 W Market St"""	Fairlawn	OH	44333	41.134196	-81.618952	4.0	4	1	Bridal;Fashion;Shopping;Flowers & Gifts
588	wztnDEbXD1VNvHMMPj2tMw	"""Steak 'n Shake"""		"""597 E Aurora Rd"""	Macedonia	OH	44056	41.3143189	-81.5172353	1.5	42	1	Burgers;Fast Food;American (New);American (Traditional);Breakfast & Brunch;Restaurants;Diners
590	C_5X1heCp_eQyzfmM6tGog	"""Red Cedar Coffee Company"""		"""711 W Bagley Rd, Ste 5"""	Berea	OH	44017	41.371833	-81.8781598	5.0	8	1	Food;Specialty Food;Coffee & Tea
607	oHeiAs-mnDJU1_4BD8_5Dg	"""Señor Tequila Mexican Grill & Cantina"""		"""13114 Shaker Square"""	Cleveland	OH	44120	41.4834697	-81.5911498	3.5	49	1	Mexican;Restaurants
613	2Oj61EYHwbH6JdrLp3alSg	"""barre3 - Solon"""		"""6130 Kruse Dr"""	Solon	OH	44139	41.3920693	-81.4426175	5.0	3	1	Pilates;Yoga;Barre Classes;Active Life;Fitness & Instruction
627	tpG_KqvR1v2GrlLKNAChBw	"""Wings Sports Bar & Grill"""		"""14516 Broadway Ave"""	Cleveland	OH	44125	41.4223755	-81.5801048	3.0	4	1	Bars;American (Traditional);Restaurants;Sports Bars;Nightlife
644	7aUnd76Myn3ocL425AWGeg	"""Venice Cafe"""		"""163 Franklin Ave"""	Kent	OH	44240	41.152875	-81.358754	4.0	14	1	Restaurants;Bars;Nightlife;Pizza
651	eY2i8JbK0AnFvMs-CyV39w	"""Pizza Hut"""		"""22455 Shore Center Dr"""	Euclid	OH	44123	41.6088331	-81.52502	1.5	8	1	Restaurants;Italian;Pizza;Chicken Wings
659	8U7Ci7vkcthVB-zOtMJRiA	"""The Tanglewood Club"""		"""8745 Tanglewood Trl"""	Chagrin Falls	OH	44023	41.3984554	-81.3311331	4.5	3	1	Event Planning & Services;Venues & Event Spaces;Golf;Active Life
661	kgAFhUm4sim7RPnNDvSZew	"""Papa John's Pizza"""		"""24753 Lorain Rd"""	North Olmsted	OH	44070	41.425152	-81.896178	1.0	7	1	Pizza;Restaurants
677	romgQ86SUEloWN3RcE-WQA	"""Ganley's Mayfield Nissan"""		"""6060 Mayfield Rd"""	Mayfield Heights	OH	44124	41.5194757	-81.4612271	3.0	10	1	Used Car Dealers;Auto Repair;Car Dealers;Automotive
682	BQwOjb8XH_Mlz75HnOoJYQ	"""B & B Sports Cards"""		"""22235 Lorain Rd"""	Fairview Park	OH	44126	41.4405408	-81.8662568	5.0	3	1	Hobby Shops;Shopping
692	thFG6fpgVR1CEWGdj489kg	"""Blossom Shoppe"""		"""8022 York Rd"""	North Royalton	OH	44133	41.349961	-81.760264	5.0	4	1	Florists;Shopping;Flowers & Gifts
723	itnExCtgV-49SKgMs3M7kg	"""Chipotle Mexican Grill"""		"""899 N Ct St"""	Medina	OH	44256	41.1361174	-81.7199467	3.5	18	1	Restaurants;Mexican;Fast Food
726	tKiPXxot_ckdlQlv1QNpPA	"""Bryan's Marathon"""		"""2294 Lee Rd"""	Cleveland	OH	44118	41.4973511	-81.5655088	5.0	3	1	Gas Stations;Automotive;Auto Repair
745	93_7V-WsgBd8-s_c9_VchQ	"""Old School Iron Gym"""		"""5139 W 140th St, Unit A"""	Brook Park	OH	44142	41.415747	-81.791252	5.0	10	1	Active Life;Fitness & Instruction;Gyms
748	TIpwAF4h4A7Smj17T8uL9A	"""Brickhouse Burgers"""		"""8533 East Washington St"""	Chagrin Falls	OH	44023	41.411177	-81.3377319	3.0	11	1	Burgers;Restaurants
769	mRoCnoKlqy540taSkn1_CA	"""Roto-Rooter Plumbing & Water Cleanup"""	Jefferson	"""10007 Dennison Avenue"""	Cleveland	OH	44111	41.45226	-81.7841703	3.5	13	1	Damage Restoration;Plumbing;Water Heater Installation/Repair;Home Services
771	gchI4BdZ76teMX9BsI2H-w	"""Maria's Family Restaurant"""		"""22578 Lake Shore Blvd"""	Euclid	OH	44123	41.611009	-81.523539	2.5	9	1	Steakhouses;Salad;Italian;Restaurants;Breakfast & Brunch;Seafood;American (New)
773	M6jDeU_3sigyxVnRgHTBDg	"""Jersey Mike's Subs"""		"""8440 E Washington St"""	Bainbridge	OH	44023	41.41236	-81.3394068	4.5	5	1	Sandwiches;Fast Food;Restaurants;Delis
777	NVzyNCSHRbOe0x1A74I61w	"""Westshore Pizza & Cheesesteaks"""		"""10021 W 130th St"""	Strongsville	OH	44136	41.336466	-81.78479	2.5	5	0	Pizza;Restaurants;Cheesesteaks
808	NkK79tpKyksJY7HlK6epXw	"""Mike's Barber Shop"""		"""8506 Mentor Ave"""	Mentor	OH	44060	41.667351	-81.3365989	3.5	5	1	Beauty & Spas;Barbers
809	Tvg8i6x2DOqC1KDi3w4KBw	"""Sturbridge Square Apartments"""		"""1500 Westford Cir"""	Westlake	OH	44145	41.4662827	-81.9453563	3.5	3	1	Apartments;Real Estate;Home Services
811	6_WrAhRjWMZ3t8ZFGYdxBQ	"""Bangs Salon"""		"""5135 Mayfield Rd"""	Lyndhurst	OH	44124	41.5204239	-81.4947804	3.0	7	1	Eyebrow Services;Beauty & Spas;Hair Salons
820	kyphxFtMIC6w7ktg-fwxWA	"""Panera Bread"""	University	"""11490 Euclid Ave"""	Cleveland	OH	44106	41.509763	-81.603852	2.0	41	1	Food;Salad;Sandwiches;Restaurants;Breakfast & Brunch;Bagels;Soup
824	YT9zQ9dL4sFZg0Y8IPK6CQ	"""Souper Market"""		"""14809 Detroit Ave"""	Lakewood	OH	44107	41.4850994	-81.800013	4.5	61	1	Restaurants;Vegetarian;Soup
837	wkUVdJTeWQiY7U-gOOMYWQ	"""Facelogic Spa"""		"""3130 Westgate"""	Fairview Park	OH	44126	41.4611257	-81.8507057	3.5	27	1	Beauty & Spas;Day Spas;Skin Care
849	LfpSzyou33GLK4gsn4Rf6w	"""Chiropractic Health Services"""		"""11820 Detroit Ave"""	Lakewood	OH	44107	41.484124	-81.771067	5.0	4	1	Health & Medical;Chiropractors
859	marOQtgf5NjgYrSonbquNQ	"""Rocky River Med Spa - The Fountain Clinic"""		"""19353 Detroit Rd"""	Rocky River	OH	44116	41.4810262	-81.8367742	2.0	8	1	Tattoo Removal;Doctors;Skin Care;Massage Therapy;Health & Medical;Laser Hair Removal;Cosmetic Surgeons;Hair Removal;Beauty & Spas;Medical Spas
865	MWcN6qLWTfRJqLySxwJNqQ	"""Kabob Place"""		"""26569 Center Ridge Rd"""	Westlake	OH	44145	41.4510113	-81.914599	4.0	42	0	Middle Eastern;Restaurants;Indian;Food;American (New);Afghan
875	Thfgsj3aiwyFvJ8PZ0ZUxA	"""Miranda's Vintage Bridal"""	Tremont	"""2685 W 14th St"""	Cleveland	OH	44113	41.475628	-81.690924	5.0	12	1	Fashion;Accessories;Jewelry;Sewing & Alterations;Local Services;Bridal;Shopping
887	rwKSKNRKXVERaltnjVltEA	"""Arcade Pizza"""	North Broadway	"""5319 Broadway Ave"""	Cleveland	OH	44127	41.4688917	-81.6527921	3.5	18	1	Pizza;Fast Food;Restaurants
894	Y8L-n2BUbCr31by8eYBazg	"""Banya Tamazonka"""		"""2070 S Taylor Rd"""	Cleveland	OH	44118	41.502577	-81.556349	4.0	4	1	Day Spas;Restaurants;Beauty & Spas;Massage;Russian
903	GgtVdnpswkydmT709g87Mg	"""Artists Uncorkd"""		"""17020 Madison Ave"""	Lakewood	OH	44107	41.489967	-81.77987	4.5	3	1	Arts & Entertainment;Specialty Schools;Education;Art Schools
909	oCsMUWF8gudHBE4lga0Bpw	"""Domino's Pizza"""		"""33670 Aurora Rd"""	Solon	OH	44139	41.384607	-81.439568	2.5	7	1	Pizza;Restaurants;Chicken Wings;Sandwiches
915	kuvpCp2cr3nOxDGaWR6tFQ	"""Sam's Club Members Only"""		"""5600 Emerald Ct"""	Mentor	OH	44060	41.7173425	-81.2929039	3.5	6	1	Wholesale Stores;Shopping
917	UfF34c3RxxqYg4sXfte8gQ	"""Koski DePaul Dental Group"""		"""5564 Wilson Mills Rd, Ste 102"""	Highland Heights	OH	44143	41.538597	-81.479029	5.0	5	1	Dentists;General Dentistry;Oral Surgeons;Health & Medical;Cosmetic Dentists
929	Q6mEGc_pml8-QCfPHfqCcA	"""Ignite Hairsalon"""		"""67 1/2 N Main St"""	Chagrin Falls	OH	44022	41.4303786	-81.3914011	3.0	4	1	Beauty & Spas;Hair Salons
955	MYTBJTPxkxF3bP1nqGKiUQ	"""Kent Free Library"""		"""312 W Main St"""	Kent	OH	44240	41.1533443	-81.3612789	5.0	5	1	Libraries;Public Services & Government
992	HIvLwkEYuGRtI17H2x7RuQ	"""Bold Food & Drink"""	East Bank	"""1121 W 10th St"""	Cleveland	OH	44113	41.5006258	-81.7043299	4.0	114	1	American (New);Nightlife;Restaurants;Bars
999	d_cDUNNrt7046lrxAE04vA	"""Dunkin' Donuts"""		"""815 E Aurora Rd"""	Macedonia	OH	44056	41.31418	-81.509559	2.5	12	1	Food;Coffee & Tea;Donuts
1005	mYeUwj1BlhJTaHd1Uo6PUA	"""Kimo's Sushi Shop"""	Ohio City	"""1885 Fulton Rd"""	Cleveland	OH	44113	41.483162	-81.710129	4.0	3	0	Restaurants;Sushi Bars
1008	T8GUNVlPTk_weZw69Vn5mg	"""Dunkin' Donuts"""		"""3027 Graham Rd, Ste 4"""	Stow	OH	44224	41.1670767406	-81.4048124136	1.0	3	1	Coffee & Tea;Food;Donuts
1027	6aCNQyvawPeabTzCX00UIw	"""Secret Cellar"""		"""176 E Main St"""	Kent	OH	44240	41.1535164	-81.356653	3.5	11	0	Bars;Wine Bars;Jazz & Blues;Nightlife;Arts & Entertainment
1046	EzCQZSXKlqgnsoMIuu7LyA	"""Lakewood Family Health Center - Cleveland Clinic"""		"""16215 Madison Ave"""	Lakewood	OH	44107	41.477057	-81.8112627	3.5	8	1	Health & Medical;Internal Medicine;Doctors;Surgeons;Cardiologists
1056	5w308TrL-7RQERpZmHSYow	"""West Shore Family Branch YMCA"""		"""1575 Columbia Rd"""	Westlake	OH	44145	41.4644348	-81.9003099	3.0	6	1	Child Care & Day Care;Local Services;Community Centers;Gyms;Active Life;Fitness & Instruction;Kids Activities;Public Services & Government;Swimming Pools
1075	NlBifQZCNUAnbuo_wKIVpg	"""Bada Bing Pizza"""		"""36 S State St"""	Painesville	OH	44077	41.725245	-81.240953	4.5	31	1	Pizza;Italian;Restaurants
1084	RfZjZ1SPN69s7xhlP_QeMQ	"""Fred's Breads and More"""	Old Brooklyn	"""2330 Broadview Rd"""	Cleveland	OH	44109	41.439495	-81.700901	4.0	4	1	Bakeries;Food
1094	roK6f1bMuKG3XC-r01Oo5w	"""Chagrin Lagoons Yacht Club"""		"""35111 Lagoon Dr"""	Eastlake	OH	44095	41.6671564	-81.4252181	4.5	3	1	Country Clubs;Arts & Entertainment
1095	fYE_cVhZmIdONYEKnwKP_A	"""Nice Ride Auto Wholesale"""		"""1517 East 367th St"""	Eastlake	OH	44095	41.6398144	-81.4240623	5.0	3	1	Car Dealers;Automotive
1101	y4giWpQy1TYYX7sZOk9NNg	"""Wendy's"""		"""15170 Bagley Rd"""	Cleveland	OH	44130	41.3692706	-81.8045915	2.0	5	1	Burgers;Fast Food;Restaurants;Hot Dogs
1142	H10R4bK0-8nOFws_TsSdLA	"""Anytime Appliance Repair"""		"""4503 Maplecrest Ave"""	Cleveland	OH	44134	41.3985993	-81.716217	4.5	13	1	Local Services;Home Services;Heating & Air Conditioning/HVAC;Appliances & Repair
1143	a1DFzgQRYAmfA5o1fDVPEQ	"""Insomnia Cookies"""		"""18508 Detroit Ave"""	Lakewood	OH	44107	41.4821578	-81.8271253	2.5	7	1	Desserts;Food;Food Delivery Services;Ice Cream & Frozen Yogurt
1176	GrgwZYyq8MRp7_-eDTqK-A	"""Fox Den Golf Course"""		"""2770 Call Rd"""	Stow	OH	44224	41.184918	-81.407369	4.0	4	1	Active Life;Golf
1192	ib0cmmBquUJ0xHcsIRQthQ	"""Best Western Plus Lawnfield Inn & Suites"""		"""8434 Mentor Ave"""	Mentor	OH	44060	41.6662419	-81.338769	4.5	21	1	Event Planning & Services;Hotels & Travel;Hotels
1204	NkvCJDNKLORDNytvebhU-Q	"""American Freight Furniture and Mattress"""		"""6767 Brookpark Rd"""	Parma	OH	44129	41.4179419	-81.731204	3.0	12	1	Home & Garden;Mattresses;Home Decor;Furniture Stores;Shopping
1230	Hv15VTPEUKQCMjfHVN-HgA	"""The Attention Center"""		"""5000 Rockside Rd, Ste 310"""	Cleveland	OH	44134	41.3852956029	-81.7086858307	2.5	3	1	Health & Medical;Counseling & Mental Health
1231	RBxjXB7TJ5REc-msNuN2YA	"""Bradley Cohn, DDS"""		"""4320 Mayfield Rd"""	Cleveland	OH	44121	41.520091	-81.5245187	2.5	3	1	General Dentistry;Orthodontists;Health & Medical;Oral Surgeons;Dentists;Cosmetic Dentists
1265	fxavkgtnwrV0DH7jgcPUrA	"""Two Sisters Clothing"""		"""4940 Darrow Rd"""	Stow	OH	44224	41.1999953	-81.440631	4.5	4	1	Women's Clothing;Shopping;Fashion;Children's Clothing;Men's Clothing
1267	D4Y0K_IHImGngs-rnNiEXw	"""Office"""		"""8800 Pearl Rd"""	Cleveland	OH	44136	41.3452389	-81.8255027	3.5	3	1	Na
1277	9dS2DSVKwWyyW5uwk7Dpzg	"""Fiesta Pizza & Chicken"""		"""1939 Bailey Rd"""	Cuyahoga Falls	OH	44221	41.1332193	-81.4657781	4.0	11	1	Pizza;Restaurants
1288	Jdkj9Ch_LuzqUEEzxbB46g	"""Ultimate Wash"""		"""5611 Darrow Rd"""	Hudson	OH	44236	41.2189561	-81.4394114	2.5	8	1	Car Wash;Automotive
1317	lriyEwWKxTzoO0HrMZfIlA	"""Budget HVAC"""		"""15700 Brookpark Rd"""	Cleveland	OH	44135	41.419353	-81.807602	2.0	3	1	Home Services;Heating & Air Conditioning/HVAC
1367	pIGh1N_7LGD4wEgWmIai2w	"""Men's Wearhouse"""		"""17230 Royalton Rd"""	Strongsville	OH	44136	41.3142205985	-81.8210113049	4.0	4	1	Plus Size Fashion;Men's Clothing;Shopping;Fashion;Formal Wear
1386	LdHtEVDZQhlz2N98IqcYUg	"""Taco Bell"""		"""7475 Day Dr"""	Parma	OH	44129	41.380491	-81.734714	2.5	7	1	Restaurants;Tex-Mex;Fast Food;Mexican
1405	cOcplwKfHIT3gwOGnGt_Sw	"""Cuyahoga Valley National Park"""		"""1550 Boston Mills Rd"""	Peninsula	OH	44264	41.2629542	-81.5587232	4.0	56	1	Active Life;Parks
1426	_wpUUDnJwrn7eSYAjnv7WA	"""Brothers Lounge"""	Edgewater	"""11609 Detroit Ave"""	Cleveland	OH	44102	41.4831317	-81.7678484	4.0	60	1	Lounges;Jazz & Blues;Bars;Arts & Entertainment;Music Venues;Restaurants;Nightlife
1441	Ub-RrbQWAV_JuVyYixynfg	"""Villa Fresh Italian Kitchen"""	Riverside	"""5300 Riverside Dr"""	Cleveland	OH	44135	41.4106123	-81.838659	2.5	11	1	Pizza;Restaurants;Italian
1442	p_XtmpNFVlUClWdjBVWKlw	"""Petco"""		"""6025 Kruse Dr, Ste 159"""	Solon	OH	44139	41.3932572098	-81.4428574686	2.5	5	1	Pet Services;Pet Stores;Pet Groomers;Pets;Pet Training
1444	z71IqTCbQW7uzw2H2T1QrA	"""87 West 2"""		"""287 Crocker Park Blvd"""	Westlake	OH	44145	41.4594181	-81.9536274	4.0	89	1	Bars;Restaurants;Wine Bars;American (New);Nightlife
1450	9SenDJswlHJNiplCfiZs_g	"""Awareness Massage and Wellness Center, LLC"""		"""9853 Johnnycake Ridge Rd, Ste 306A"""	Mentor	OH	44060	41.6734511	-81.2827318	5.0	7	1	Health & Medical;Massage Therapy
1451	WYzPWifJZg18BhJW8MrmXg	"""Spring & Sprout Pediatric Dentistry"""		"""15380 Bagley Rd"""	Middleburg Heights	OH	44130	41.3700959	-81.805838	5.0	3	1	Dentists;General Dentistry;Pediatric Dentists;Orthodontists;Doctors;Health & Medical
1475	CvP516pjOdcJJkaMjl8rPw	"""China Kitchen II"""		"""5607 Turney Rd"""	Cleveland	OH	44125	41.410601	-81.600866	3.5	10	1	Chinese;Restaurants
1491	OttGHPx9u299-1J-vmpxiA	"""Skelly's Bar & Grill"""		"""37825 Vine St"""	Willoughby	OH	44094	41.6427125	-81.4108753	4.0	3	0	Dive Bars;Bars;Nightlife
1492	a2gWPZZC0N3d_xGttDm6ow	"""Peter B Lewis Aquatic & Therapy Center"""		"""27300 Cedar Rd"""	Cleveland	OH	44122	41.5007962	-81.4857291	2.0	4	1	Active Life;Health & Medical;Swimming Pools;Physical Therapy
1496	3Cnonn4ook40H8Pu1NeDMw	"""Cambridge Jewelers"""		"""76 Maple Dr"""	Hudson	OH	44236	41.238857	-81.436239	5.0	4	1	Jewelry;Shopping;Antiques
1504	dEBcXzNiY9UV3OBsZhEDaQ	"""Lyndhurst Luggage & Shoe Repair"""		"""5102 Mayfield Rd"""	Cleveland	OH	44124	41.5191111	-81.4964447	3.0	6	1	Sewing & Alterations;Luggage;Shopping;Shoe Repair;Local Services
1537	GGwxKT9nErLDH5T9tmcD4Q	"""Cleveland Public Library - Jefferson"""	Tremont	"""850 Jefferson Ave"""	Cleveland	OH	44113	41.479263	-81.685254	4.5	7	1	Public Services & Government;Libraries
1544	YBxThPNsPWjXZX9jS7EgtQ	"""Ryan Homes"""		"""3281 Evans Way"""	Twinsburg	OH	44087	41.320854	-81.419861	2.0	3	1	Contractors;Home Services
1545	xztEzfOUC2C_UuP8504tNA	"""Garfield Memorial United Methodist Church"""		"""3650 Lander Rd"""	Cleveland	OH	44124	41.460751	-81.4638949	5.0	3	1	Religious Organizations
1548	PAXUkXtz3YbzNZYlSTuMhA	"""Hudec Dental Associates"""		"""466 Northfield Rd"""	Bedford	OH	44146	41.405507	-81.5277009	1.0	3	0	Health & Medical;Dentists
1561	ghWZ2gBeCbrWOns68afDJw	"""United Dairy Farmers"""		"""1900 Lee Rd"""	Cleveland	OH	44118	41.5079503	-81.5659099	3.0	3	1	Food;Ice Cream & Frozen Yogurt
1568	lWcNGBfOzdnpHgpAq7plMQ	"""Danny Mac's"""	Old Brooklyn	"""4920 Pearl Rd"""	Cleveland	OH	44109	41.4240353	-81.7222966	3.0	7	1	Nightlife;Bars
1578	kfbBBxJg-oatbY-YHf7qpw	"""Mavis Winkle's Irish Pub"""		"""8870 Darrow Rd"""	Twinsburg	OH	44087	41.3073038	-81.4419172	3.5	50	1	Restaurants;Bars;Irish;Pubs;Nightlife
